S,K,m,T,r,rho,kappa,gam,nu,V0,price
100.0,131.38485683369808,0.761122723043921,0.0747996016142679,0.015366270834399749,-0.08782186051016905,0.20854586521040563,0.4768860700274045,0.060615674628382195,0.4631850753116964,0.6579461653875264
100.0,89.91152152321023,1.112204512902003,2.0294496030811704,0.041327238275913815,-0.7253344452800574,0.8175579413413877,0.17933410505344885,0.08019365112660543,0.11761519031138012,26.341927623133852
100.0,156.42477798674906,0.6392849092518522,2.032902041849469,0.0066725510547716695,-0.010384118437609446,1.7848676954005636,0.2613725067867497,0.018057869931943707,0.29575269517489505,4.393980054254852
100.0,119.86548126332015,0.834268539583304,2.7367196120663486,0.02078376396010528,-0.6638756129172589,2.935408484430597,0.6710085679681607,0.06829197577706254,0.22688615153165492,12.89658796149285
100.0,101.51948642324534,0.98503256392659,0.11041562294774629,0.0068103049939452764,-0.6892391128198679,2.8454152270221247,0.3977697033472083,0.11812153079924054,0.47210425167145637,7.892622989365362
100.0,73.28841329159334,1.3644721656359102,0.24378895151076685,0.011453545337694599,-0.5923016048172965,2.7949824959574814,0.6261827176430402,0.30251334639170346,0.15937263456968095,27.8430551590679
100.0,126.06805189535979,0.7932223786800716,0.4692904201233358,0.043260732954928466,-0.7038115568213721,2.8895485741771623,0.17575681987562922,0.09238176573667194,0.1854711144002706,3.03876066879059
100.0,120.51192745915854,0.8297933831810131,1.4699477280339683,0.0200151435743754,-0.5333976755625698,0.46113143307432924,0.1575159852696705,0.03232528030096859,0.1720543931448168,10.950255218636665
100.0,131.912336823311,0.7580792093308473,1.398266731685234,0.03419532370265551,-0.7640913165719065,0.02899713564128592,0.70639451501348,0.18138216322367506,0.4006132966371777,14.085216542503362
100.0,78.13444200374613,1.279845320904775,0.993915454333223,0.008151634822509019,-0.2839567273401238,0.646777132706804,0.7592360512413572,0.1337475089056771,0.21321546770467759,28.887892564873997
100.0,84.4745481267221,1.1837885163941668,1.4366619358157218,0.018663372340782136,-0.1291452376645933,0.40395019063638715,0.7653151489981077,0.22040621276550074,0.07069746833627541,23.754487438771104
100.0,141.46999556963638,0.7068636681392739,0.20705341601913546,0.002225404233539358,-0.30795591743887607,2.4291306055683344,0.35262007049104305,0.27247600818113393,0.2364828353470942,0.611997720311599
100.0,87.37071166925831,1.1445483055986752,2.2023241558515267,0.030922499354116707,-0.5416426975655841,2.208254424646206,0.5996796080086282,0.10147831277096035,0.31200382434027946,30.31899668780819
100.0,115.37863432204645,0.8667115934210021,2.223163401737172,0.049962539400555256,-0.8223531301637536,0.44800344163550454,0.5127204606581096,0.0508949632516953,0.1724897541386348,15.35521841236025
100.0,104.87802851378954,0.9534885563457347,2.548254853413712,0.03249094454535072,-0.5723105781985254,0.21529592736824443,0.5541281047761195,0.3876870255643782,0.10919223089260977,23.638854367635034
100.0,110.32300967395784,0.906429223563916,1.5632081429189442,0.029608952727948085,-0.301635321756204,2.429890666503418,0.6499537173808296,0.014230958368307626,0.4049694105521272,13.585823075179658
100.0,153.40623419840935,0.6518639905511538,1.8566336785199589,0.044689878793017494,-0.5030855004932961,0.2950813897082245,0.7064316706950458,0.11610827603981351,0.26548548746307704,8.149700368133253
100.0,107.61677963239177,0.9292231224683555,0.7462219284148455,0.009291582768402912,-0.43200567184437516,1.4419345191394801,0.455683849422216,0.2100988873209208,0.06143231265850819,8.52936837795127
100.0,77.33535541462477,1.2930696376044475,0.8759042398634311,0.0351776435607936,-0.7829094327992402,0.2242543043010039,0.7688991134152287,0.12413806491168276,0.16351500821937998,29.83420131758419
100.0,86.48011615916228,1.1563351720753365,1.3905490584821405,0.010681213041550841,-0.4907463674906148,0.0020890419308293717,0.16649750105510439,0.2569552458365565,0.12613273206063302,23.872387042090544
100.0,84.72910641181653,1.1802319679138473,0.4285860848227961,0.012516653004171586,-0.8836084330010157,0.8016934158208591,0.09064208419851713,0.20128921057245658,0.42521901530936523,24.117236751155648
100.0,111.58937279990279,0.8961426835807712,1.2315933718024668,0.019825188743294416,-0.587208181468174,1.664554836404271,0.713510012704905,0.13834810916264004,0.46802981483558037,17.779722963212933
100.0,155.5764208379362,0.6427709254487214,1.5165111468698236,0.024758676806556686,-0.8699321150650192,0.28068503002927503,0.3110069595713001,0.3681217584071663,0.3430562713487823,11.92255658352576
100.0,96.48947092411076,1.0363825093273678,1.7464725893329458,0.004483551828383759,-0.8250479864369481,1.8884076924504778,0.397157701870119,0.05727289065751369,0.1688136656766097,16.939824853493164
100.0,118.49766390691367,0.8438984930416469,0.9663123766113252,0.016060309778760662,-0.8601681642570712,1.421409080684162,0.3207532893139794,0.2025813832900852,0.10611519205046291,8.19519090135316
100.0,110.92475693483519,0.9015120047434213,0.48547708928123195,0.033549213062295295,-0.38492679320183265,0.691674388418678,0.7467937558217776,0.07760366163362857,0.3575509014188333,11.051927526178797
100.0,132.17962737476012,0.7565462392814638,1.1022803152497531,0.0013321871116187935,-0.8849583508991835,0.936002338399332,0.0852639519061704,0.030150287638013112,0.11235420196592086,2.722874864428253
100.0,106.03290014416062,0.9431035071571334,1.8956843849965417,0.041560435359138725,-0.007005568237958282,1.533330811882126,0.4109416845359118,0.035688480902119527,0.4279162584506293,22.274718231294496
100.0,103.04551649081202,0.9704449393382043,0.2397557551087825,0.014277637531687587,-0.028955797903118974,1.9818118728001992,0.36713440205452724,0.30908604184333177,0.32212141299294983,9.819779215800807
100.0,130.00153191226858,0.7692217047679477,0.07064577128151198,0.009317781822872118,-0.4919308501342975,2.838471639814133,0.27122634215396296,0.4069698697729459,0.34680936450147287,0.3207750164371784
100.0,140.52834076463174,0.7116002327778715,1.2525737040079294,0.036652269872051536,-0.11742699239733823,0.42721822830455136,0.35818886007766854,0.13060857485378127,0.2526500743649975,10.296296780262189
100.0,82.11199485394032,1.2178488682180797,1.964029353562692,0.005495898738980188,-0.40723954801559253,0.2502296607958292,0.6298523295044585,0.3963584232977231,0.0855580258756666,28.911620663072252
100.0,76.08105397573004,1.3143876796436091,1.2071083213132028,0.01826017603459982,-0.8186378459925384,0.2667277689118862,0.41027511572049874,0.29490602001066507,0.2634983791948534,35.0413254815273
100.0,92.31640579771846,1.083231080498494,2.662844491804941,0.013237877253547414,-0.516816292866713,0.24566310447020123,0.15302699007590156,0.09319101773273643,0.2323729667833262,31.858411192869667
